code,category_eng,category_rus
7033," Trailer Parks, Campgrounds"," Trailer Parks, Campgrounds"
7210," Laundry, Cleaning Services"," Laundry, Cleaning Services"
7211, Laundries, Laundries
7216, Dry Cleaners, Dry Cleaners
7217, Carpet/Upholstery Cleaning, Carpet/Upholstery Cleaning
7221, Photographic Studios, Photographic Studios
7230, Barber and Beauty Shops, Barber and Beauty Shops
7251, Shoe Repair/Hat Cleaning, Shoe Repair/Hat Cleaning
7261," Funeral Services, Crematories"," Funeral Services, Crematories"
7273, Dating/Escort Services, Dating/Escort Services
7276, Tax Preparation Services, Tax Preparation Services
7277, Counseling Services, Counseling Services
7278, Buying/Shopping Services ,Клубы оказывающие сервис по покупке)
7296, Clothing Rental ,"Сдача в аренду костюмов, униформы, простой одежды)"
7297, Massage Parlors ,Массажная приемная)
7298, Т.н. клубы здоровья ,"Точки, которые специализируются на разнообразных терапевтических услугах, дневного стационара. В спектр услуг входят массаж, массаж лица, грязевые ванны, травяные, бассейны, воздушные ванны, персональные программы, советы диетолога, консультации специалиста по уходу за волосами, аэробика, шейпинг, контроль за весом и т.п. )"
7299, Miscellaneous General Services ,Иной сервис)
7311, Advertising Services ,Рекламные услуги)
7321, Credit Reporting Agencies ,Агентства по составлению отчетов потребительских долгов)
7333," Commercial Photography, Art and Graphics ","Коммерческая графика, фотографии)"
7338," Quick Copy, Repro, and Blueprint ",Услуги копировальных центров)
7339, Secretarial Support Services ,Услуги стенографии и секретарского дела)
7342, Exterminating Services ,Истребление насекомых и дезинфекция)
7349, Cleaning and Maintenance ,Уборка и чистка помещений)
7361, Employment/Temp Agencies ,Центры занятости)
7372, Computer Programming ,"Программирование, обработка данных, интегрированные системы, дизайн)"
7375, Information Retrieval Services ,Информационные провайдеры)
7379, Computer Repair ,Ремонт и техническое обслуживание компьютерной техники)
7392," Consulting, Public Relations ","Консультация, мэнеджмент, паблик-рилэйшн услуги)"
7393, Detective Agencies ,"Детективные, охранные агенства, вкл. бронированные автомобили и сторожевых собак)"
7394, Equipment Rental ,"Сдача в аренду оборудования, мебели, инструментов)"
7395, Photo Developing ,"Фотостудии, фотолаборатории)"
7399, Miscellaneous Business Services ,Бизнес – сервис)
7511, Truck Stop, Truck Stop
7512, Car Rental Agencies ,Прокат автомобилей)
7512, Прокат автомобилей, Прокат автомобилей
7513, Truck/Utility Trailer Rentals ,Прокат аксессуаров для трэйлеров и грузовиков)
7519, Recreational Vehicle Rentals ,"Прокат домиков на колесах, аксессуары к наземному транспорту)"
7523," Parking Lots, Garages ",Паркинги и гаражи)
7531, Auto Body Repair Shops ,Станции технического обслуживания для автомобильного транспорта)
7534, Tire Retreading and Repair ,Шиномонтаж и вулканизация)
7535, Auto Paint Shops ,Покраска автомобилей)
7538, Auto Service Shops ,СТО общего назначения.)
7542, Car Washes ,Автомойки)
7549, Towing Services ,Буксировка)
7622, Electronics Repair Shops ,Ремонт электроники)
7623," A/C, Refrigeration Repair ",Ремонт и запрака кондиционеров и холодильников)
7629, Small Appliance Repair ,Ремонт бытовой техники. Ремонт электроприборы)
7631, Watch/Jewelry Repair ,Центры ремонта часов и чистки ювелирных изделий)
7641," Furniture Repair, Refinishing ","Мебель – обивка, ремонт и реставрация)"
7692, Welding Repair ,Ремонт с помощью сварки)
7699, Miscellaneous Repair Shops ,Общий ремонт)
7829, Picture/Video Production ,Производство и дистрибуция видеофильмов)
7832, Motion Picture Theaters ,Кинотеатры)
7841, Video Tape Rental Stores ,Видеопрокат)
7911," Dance Hall, Studios, Schools ","Танцклубы, танцшколы и студии)"
7922, Theatrical Ticket Agencies ,Театральные продюссерские агенства)
7929," Bands, Orchestras ","Музыкальные группы, оркестры и прочие развлекательные услуги)"
7932, Billiard/Pool Establishments ,Билльярд-клубы)
7933, Bowling Alleys ,Боулинг-клубы)
7941, Sports Clubs/Fields ,"Спортивные поля, Коммерческие Спортивные состязания, Профессиональные Спортивные Клубы, Спортивные Промоутеры)"
7991, Tourist Attractions and Exhibits ,Туристические аттракционы и шоу)
7992, Golf Courses – Public ,"Поля для гольфа, Публичные)"
7993, Video Amusement Game Supplies No1.6041-3 ,Принадлежности для Видеоигр)
7994, Video Game Arcades ,Галереи/ учреждения Видеоигр)
7995, Betting/Casino Gambling ,"Транзакции по Азартным играм, казино (в том, числе интернет))"
7996, Amusement Parks/Carnivals ,"Луна-парки, Карнавалы, Цирки, Предсказатели будущего)"
7997, Country Clubs ,"Клубы — Сельские клубы, Членство (Спортивный, Отдых, Спорт), Частные Поля для гольфа )"
7998, Aquariums ,"Аквариумы, Дельфинариумы, Зверинцы, и Морские парки)"
7999, Miscellaneous Recreation Services ,Услуги Отдыха — нигде ранее не классифицируемые)
8011, Doctors ,Доктора — нигде ранее не классифицируемые)
8021," Dentists, Orthodontists ","Дантисты, ортодантисты)"
8031, Osteopaths ,"Osteopathic врачи, терапевты)"
8041, Chiropractors ,Хиропрактики)
8042," Optometrists, Ophthalmologist ","Оптометристы, офтальмологи )"
8043," Opticians, Eyeglasses ","Оптика, Оптические Товары, и Очки)"
8049," Chiropodists, Podiatrists ",Ортопеды)
